id,status,evidence,notes
3.1.1,partial,see evidence/3.1.1/,
3.1.2,not_implemented,,
3.1.3,partial,see evidence/3.1.3/,
3.1.4,partial,see evidence/3.1.4/,
3.1.5,not_implemented,,
3.1.6,not_applicable,see evidence/3.1.6/,
3.1.7,implemented,see evidence/3.1.7/,
3.1.8,implemented,see evidence/3.1.8/,
3.1.9,not_implemented,,
3.1.10,partial,see evidence/3.1.10/,
3.1.11,not_applicable,see evidence/3.1.11/,
3.1.12,implemented,see evidence/3.1.12/,
3.1.13,implemented,see evidence/3.1.13/,
3.1.14,partial,see evidence/3.1.14/,
3.1.15,implemented,see evidence/3.1.15/,
3.1.16,implemented,see evidence/3.1.16/,
3.1.17,implemented,see evidence/3.1.17/,
3.1.18,not_implemented,,
3.1.19,implemented,see evidence/3.1.19/,
3.1.20,not_applicable,see evidence/3.1.20/,
3.1.21,implemented,see evidence/3.1.21/,
3.1.22,partial,see evidence/3.1.22/,
3.2.1,not_applicable,see evidence/3.2.1/,
3.2.2,implemented,see evidence/3.2.2/,
3.2.3,not_applicable,see evidence/3.2.3/,
3.3.1,implemented,see evidence/3.3.1/,
3.3.2,not_implemented,,
3.3.3,implemented,see evidence/3.3.3/,
3.3.4,implemented,see evidence/3.3.4/,
3.3.5,implemented,see evidence/3.3.5/,
3.3.6,implemented,see evidence/3.3.6/,
3.3.7,implemented,see evidence/3.3.7/,
3.3.8,not_applicable,see evidence/3.3.8/,
3.3.9,implemented,see evidence/3.3.9/,
3.4.1,partial,see evidence/3.4.1/,
3.4.2,implemented,see evidence/3.4.2/,
3.4.3,partial,see evidence/3.4.3/,
3.4.4,not_applicable,see evidence/3.4.4/,
3.4.5,implemented,see evidence/3.4.5/,
3.4.6,not_implemented,,
3.4.7,implemented,see evidence/3.4.7/,
3.4.8,implemented,see evidence/3.4.8/,
3.4.9,partial,see evidence/3.4.9/,
3.5.1,implemented,see evidence/3.5.1/,
3.5.2,implemented,see evidence/3.5.2/,
3.5.3,partial,see evidence/3.5.3/,
3.5.4,implemented,see evidence/3.5.4/,
3.5.5,implemented,see evidence/3.5.5/,
3.5.6,not_implemented,,
3.5.7,implemented,see evidence/3.5.7/,
3.5.8,implemented,see evidence/3.5.8/,
3.5.9,implemented,see evidence/3.5.9/,
3.5.10,implemented,see evidence/3.5.10/,
3.5.11,not_implemented,,
3.6.1,implemented,see evidence/3.6.1/,
3.6.2,implemented,see evidence/3.6.2/,
3.6.3,implemented,see evidence/3.6.3/,
3.7.1,not_applicable,see evidence/3.7.1/,
3.7.2,implemented,see evidence/3.7.2/,
3.7.3,implemented,see evidence/3.7.3/,
3.7.4,implemented,see evidence/3.7.4/,
3.7.5,implemented,see evidence/3.7.5/,
3.7.6,implemented,see evidence/3.7.6/,
3.8.1,implemented,see evidence/3.8.1/,
3.8.2,implemented,see evidence/3.8.2/,
3.8.3,implemented,see evidence/3.8.3/,
3.8.4,implemented,see evidence/3.8.4/,
3.8.5,implemented,see evidence/3.8.5/,
3.8.6,implemented,see evidence/3.8.6/,
3.8.7,partial,see evidence/3.8.7/,
3.8.8,implemented,see evidence/3.8.8/,
3.8.9,implemented,see evidence/3.8.9/,
3.9.1,implemented,see evidence/3.9.1/,
3.9.2,implemented,see evidence/3.9.2/,
3.10.1,not_applicable,see evidence/3.10.1/,
3.10.2,implemented,see evidence/3.10.2/,
3.10.3,implemented,see evidence/3.10.3/,
3.10.4,implemented,see evidence/3.10.4/,
3.10.5,implemented,see evidence/3.10.5/,
3.10.6,implemented,see evidence/3.10.6/,
3.11.1,implemented,see evidence/3.11.1/,
3.11.2,implemented,see evidence/3.11.2/,
3.11.3,implemented,see evidence/3.11.3/,
3.12.1,implemented,see evidence/3.12.1/,
3.12.2,implemented,see evidence/3.12.2/,
3.12.3,implemented,see evidence/3.12.3/,
3.12.4,implemented,see evidence/3.12.4/,
3.13.1,implemented,see evidence/3.13.1/,
3.13.2,implemented,see evidence/3.13.2/,
3.13.3,partial,see evidence/3.13.3/,
3.13.4,partial,see evidence/3.13.4/,
3.13.5,implemented,see evidence/3.13.5/,
3.13.6,not_implemented,,
3.13.7,implemented,see evidence/3.13.7/,
3.13.8,partial,see evidence/3.13.8/,
3.13.9,not_implemented,,
3.13.10,implemented,see evidence/3.13.10/,
3.13.11,implemented,see evidence/3.13.11/,
3.13.12,implemented,see evidence/3.13.12/,
3.13.13,implemented,see evidence/3.13.13/,
3.13.14,implemented,see evidence/3.13.14/,
3.13.15,implemented,see evidence/3.13.15/,
3.13.16,implemented,see evidence/3.13.16/,
3.14.1,implemented,see evidence/3.14.1/,
3.14.2,implemented,see evidence/3.14.2/,
3.14.3,implemented,see evidence/3.14.3/,
3.14.4,not_applicable,see evidence/3.14.4/,
3.14.5,implemented,see evidence/3.14.5/,
3.14.6,implemented,see evidence/3.14.6/,
3.14.7,implemented,see evidence/3.14.7/,
