id,family_prefix,family_abbr,family_name,requirement,weight,weight_verified
3.1.1,3.1,AC,Access Control,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",5,no
3.1.2,3.1,AC,Access Control,Limit system access to the types of transactions and functions that authorized users are permitted to execute.,5,no
3.1.3,3.1,AC,Access Control,Control the flow of CUI in accordance with approved authorizations.,5,no
3.1.4,3.1,AC,Access Control,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,5,no
3.1.5,3.1,AC,Access Control,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",5,no
3.1.6,3.1,AC,Access Control,Use non-privileged accounts or roles when accessing nonsecurity functions.,5,no
3.1.7,3.1,AC,Access Control,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in the audit logs.,5,no
3.1.8,3.1,AC,Access Control,Limit unsuccessful logon attempts.,5,no
3.1.9,3.1,AC,Access Control,Provide privacy and security notices consistent with applicable CUI rules.,5,no
3.1.10,3.1,AC,Access Control,Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity.,5,no
3.1.11,3.1,AC,Access Control,Terminate (automatically) a user session after a defined condition.,5,no
3.1.12,3.1,AC,Access Control,Monitor and control remote access sessions.,5,no
3.1.13,3.1,AC,Access Control,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,5,no
3.1.14,3.1,AC,Access Control,Route remote access via managed access control points.,5,no
3.1.15,3.1,AC,Access Control,Authorize remote execution of privileged commands and remote access to security-relevant information.,5,no
3.1.16,3.1,AC,Access Control,Authorize wireless access prior to allowing such connections.,5,no
3.1.17,3.1,AC,Access Control,Protect wireless access using authentication and encryption.,5,no
3.1.18,3.1,AC,Access Control,Control connection of mobile devices.,5,no
3.1.19,3.1,AC,Access Control,Encrypt CUI on mobile devices and mobile computing platforms.,5,no
3.1.20,3.1,AC,Access Control,Verify and control/limit connections to and use of external systems.,5,no
3.1.21,3.1,AC,Access Control,Limit use of portable storage devices on external systems.,5,no
3.1.22,3.1,AC,Access Control,Control CUI posted or processed on publicly accessible systems.,5,no
3.2.1,3.2,AT,Awareness and Training,"Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",5,no
3.2.2,3.2,AT,Awareness and Training,Ensure that personnel are trained to carry out their assigned information security-related duties and responsibilities.,5,no
3.2.3,3.2,AT,Awareness and Training,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,5,no
3.3.1,3.3,AU,Audit and Accountability,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",5,no
3.3.2,3.3,AU,Audit and Accountability,Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,5,no
3.3.3,3.3,AU,Audit and Accountability,Review and update logged events.,5,no
3.3.4,3.3,AU,Audit and Accountability,Alert in the event of an audit logging process failure.,5,no
3.3.5,3.3,AU,Audit and Accountability,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",5,no
3.3.6,3.3,AU,Audit and Accountability,Provide audit record reduction and report generation to support on-demand analysis and reporting.,5,no
3.3.7,3.3,AU,Audit and Accountability,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,5,no
3.3.8,3.3,AU,Audit and Accountability,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",5,no
3.3.9,3.3,AU,Audit and Accountability,Limit management of audit logging functionality to a subset of privileged users.,5,no
3.4.1,3.4,CM,Configuration Management,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.",5,no
3.4.2,3.4,CM,Configuration Management,Establish and enforce security configuration settings for information technology products employed in organizational systems.,5,no
